Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2018-04-13,You Were Never Really Here,2017,https://letterboxd.com/spur_22/film/you-were-never-really-here/,,,2018-04-12
2018-04-14,Downsizing,2017,https://letterboxd.com/spur_22/film/downsizing/,,,2018-04-13
2018-04-15,Perfect Strangers,2017,https://letterboxd.com/spur_22/film/perfect-strangers-2017/,,,2018-04-14
2018-04-16,The Other Side of Hope,2017,https://letterboxd.com/spur_22/film/the-other-side-of-hope/,,,2018-04-14
2018-04-16,Coco,2017,https://letterboxd.com/spur_22/film/coco-2017/,,,2018-04-15
2018-04-18,Menashe,2017,https://letterboxd.com/spur_22/film/menashe/,,,2018-04-17
2018-04-18,Ain't Them Bodies Saints,2013,https://letterboxd.com/spur_22/film/aint-them-bodies-saints/,,,2018-04-17
2018-04-19,The Squid and the Whale,2005,https://letterboxd.com/spur_22/film/the-squid-and-the-whale/,,,2018-04-18
2018-04-19,"Roxanne, Roxanne",2017,https://letterboxd.com/spur_22/film/roxanne-roxanne/,,,2018-04-18
2018-04-21,Mute,2018,https://letterboxd.com/spur_22/film/mute-2018/,,,2018-04-20
